name,company_or_project,title,segment,location,company_url,contact_url,public_business_phone,phone_type,phone_source_url,phone_research_url,public_email,linkedin_or_search_url,source_url,notes,confidence
Minna Song,EliseAI,Co-founder / CEO,AI agents for housing and healthcare,"New York, NY",https://www.eliseai.com,https://www.eliseai.com/contact,,,,https://www.google.com/search?q=EliseAI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Minna%20Song%20EliseAI,https://www.google.com/search?q=Minna%20Song%20EliseAI%20founder,Vertical AI agent founder,High
Tony Stoyanov,EliseAI,Co-founder / CTO,AI agents for housing and healthcare,"New York, NY",https://www.eliseai.com,https://www.eliseai.com/contact,,,,https://www.google.com/search?q=EliseAI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Tony%20Stoyanov%20EliseAI,https://www.google.com/search?q=Tony%20Stoyanov%20EliseAI%20founder,Technical cofounder,High
Varun Mohan,Codeium / Windsurf,Co-founder / CEO,AI coding agents,"Mountain View, CA",https://windsurf.com,https://windsurf.com/contact,,,,https://www.google.com/search?q=Codeium%20%2F%20Windsurf%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Varun%20Mohan%20Windsurf%20Codeium,https://www.google.com/search?q=Varun%20Mohan%20Codeium%20Windsurf%20founder,AI coding assistant/agent founder,High
Douglas Chen,Codeium / Windsurf,Co-founder,AI coding agents,"Mountain View, CA",https://windsurf.com,https://windsurf.com/contact,,,,https://www.google.com/search?q=Codeium%20%2F%20Windsurf%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Douglas%20Chen%20Codeium%20Windsurf,https://www.google.com/search?q=Douglas%20Chen%20Codeium%20founder,AI coding assistant/agent cofounder,High
Scott Wu,Cognition,Founder / CEO,AI software engineer agents,"San Francisco, CA",https://www.cognition.ai,https://www.cognition.ai/contact,,,,https://www.google.com/search?q=Cognition%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Scott%20Wu%20Cognition%20Devin,https://www.google.com/search?q=Scott%20Wu%20Cognition%20Devin%20founder,Builder of Devin coding agent,High
Walden Yan,Cognition,Co-founder,AI software engineer agents,"San Francisco, CA",https://www.cognition.ai,https://www.cognition.ai/contact,,,,https://www.google.com/search?q=Cognition%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Walden%20Yan%20Cognition%20Devin,https://www.google.com/search?q=Walden%20Yan%20Cognition%20Devin%20founder,Coding agent cofounder,High
Steven Hao,Cognition,Co-founder,AI software engineer agents,"San Francisco, CA",https://www.cognition.ai,https://www.cognition.ai/contact,,,,https://www.google.com/search?q=Cognition%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Steven%20Hao%20Cognition%20Devin,https://www.google.com/search?q=Steven%20Hao%20Cognition%20Devin%20founder,Coding agent cofounder,High
Michael Truell,Anysphere / Cursor,Co-founder / CEO,AI coding agents,"San Francisco, CA",https://www.cursor.com,https://www.cursor.com/contact,,,,https://www.google.com/search?q=Anysphere%20%2F%20Cursor%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Michael%20Truell%20Cursor%20Anysphere,https://www.google.com/search?q=Michael%20Truell%20Cursor%20founder,AI coding workflow founder,High
Sualeh Asif,Anysphere / Cursor,Co-founder,AI coding agents,"San Francisco, CA",https://www.cursor.com,https://www.cursor.com/contact,,,,https://www.google.com/search?q=Anysphere%20%2F%20Cursor%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Sualeh%20Asif%20Cursor%20Anysphere,https://www.google.com/search?q=Sualeh%20Asif%20Cursor%20founder,Cursor cofounder,High
Aman Sanger,Anysphere / Cursor,Co-founder,AI coding agents,"San Francisco, CA",https://www.cursor.com,https://www.cursor.com/contact,,,,https://www.google.com/search?q=Anysphere%20%2F%20Cursor%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Aman%20Sanger%20Cursor%20Anysphere,https://www.google.com/search?q=Aman%20Sanger%20Cursor%20founder,Cursor cofounder,High
Amjad Masad,Replit,Founder / CEO,AI coding agents,"Foster City, CA",https://replit.com,https://replit.com/contact,,,,https://www.google.com/search?q=Replit%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Amjad%20Masad%20Replit%20Agent,https://www.google.com/search?q=Amjad%20Masad%20Replit%20Agent%20founder,AI software creation agent company,High
Haya Odeh,Replit,Co-founder,AI coding agents,"Foster City, CA",https://replit.com,https://replit.com/contact,,,,https://www.google.com/search?q=Replit%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Haya%20Odeh%20Replit,https://www.google.com/search?q=Haya%20Odeh%20Replit%20founder,Replit cofounder,High
Faris Masad,Replit,Co-founder,AI coding agents,"Foster City, CA",https://replit.com,https://replit.com/contact,,,,https://www.google.com/search?q=Replit%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Faris%20Masad%20Replit,https://www.google.com/search?q=Faris%20Masad%20Replit%20founder,Replit cofounder,High
Soham Ganatra,Composio,Co-founder,Tool integrations for AI agents,"San Francisco, CA",https://composio.dev,https://composio.dev/contact,,,,https://www.google.com/search?q=Composio%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Soham%20Ganatra%20Composio,https://www.google.com/search?q=Soham%20Ganatra%20Composio%20founder,Agent tool integration platform,High
Samyak Jain,Composio,Co-founder,Tool integrations for AI agents,"San Francisco, CA",https://composio.dev,https://composio.dev/contact,,,,https://www.google.com/search?q=Composio%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Samyak%20Jain%20Composio,https://www.google.com/search?q=Samyak%20Jain%20Composio%20founder,Agent tool integration platform,High
Yash Sheth,OpenPipe,Co-founder,LLM ops / agent fine-tuning,"Seattle, WA",https://openpipe.ai,https://openpipe.ai/contact,,,,https://www.google.com/search?q=OpenPipe%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Yash%20Sheth%20OpenPipe,https://www.google.com/search?q=Yash%20Sheth%20OpenPipe%20founder,LLM/agent optimization founder,Medium
Kyle Corbitt,OpenPipe,Co-founder,LLM ops / agent fine-tuning,"Seattle, WA",https://openpipe.ai,https://openpipe.ai/contact,,,,https://www.google.com/search?q=OpenPipe%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Kyle%20Corbitt%20OpenPipe,https://www.google.com/search?q=Kyle%20Corbitt%20OpenPipe%20founder,LLM/agent optimization founder,Medium
Shreya Shankar,Guardrails AI,Co-founder,AI guardrails for agents,"San Francisco, CA",https://www.guardrailsai.com,https://www.guardrailsai.com/contact,,,,https://www.google.com/search?q=Guardrails%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Shreya%20Shankar%20Guardrails%20AI,https://www.google.com/search?q=Shreya%20Shankar%20Guardrails%20AI%20founder,Agent safety/evals founder,High
Diego Oppenheimer,Guardrails AI,Co-founder / CEO,AI guardrails for agents,"San Francisco, CA",https://www.guardrailsai.com,https://www.guardrailsai.com/contact,,,,https://www.google.com/search?q=Guardrails%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Diego%20Oppenheimer%20Guardrails%20AI,https://www.google.com/search?q=Diego%20Oppenheimer%20Guardrails%20AI%20founder,Agent safety/evals founder,High
Jason Liu,Instructor,Creator / founder,Structured extraction for LLM agents,"San Francisco, CA",https://python.useinstructor.com,https://jxnl.co,,,,https://www.google.com/search?q=Instructor%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Jason%20Liu%20Instructor%20AI,https://www.google.com/search?q=Jason%20Liu%20Instructor%20LLM%20agents,Open-source LLM builder,High
Shawn Wang,Smol AI,Founder,Open-source AI agent tooling,"San Francisco, CA",https://smol.ai,https://www.swyx.io,,,,https://www.google.com/search?q=Smol%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Shawn%20Wang%20Smol%20AI,https://www.google.com/search?q=Shawn%20Wang%20Smol%20AI%20founder,Open-source agent ecosystem builder,High
Matan Grinberg,Factory AI,Co-founder / CEO,AI software development agents,"San Francisco, CA",https://www.factory.ai,https://www.factory.ai/contact,,,,https://www.google.com/search?q=Factory%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Matan%20Grinberg%20Factory%20AI,https://www.google.com/search?q=Matan%20Grinberg%20Factory%20AI%20founder,AI coding agent founder,High
Eno Reyes,Factory AI,Co-founder,AI software development agents,"San Francisco, CA",https://www.factory.ai,https://www.factory.ai/contact,,,,https://www.google.com/search?q=Factory%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Eno%20Reyes%20Factory%20AI,https://www.google.com/search?q=Eno%20Reyes%20Factory%20AI%20founder,AI coding agent cofounder,High
Matt Welsh,Fixie.ai,Founder / CEO,LLM agent platform,"Seattle, WA",https://www.fixie.ai,https://www.fixie.ai/contact,,,,https://www.google.com/search?q=Fixie.ai%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Matt%20Welsh%20Fixie%20AI,https://www.google.com/search?q=Matt%20Welsh%20Fixie%20AI%20founder,Agent platform founder,High
Zain Hasan,Humanloop,Co-founder / CEO,LLM evals and agent ops,"San Francisco, CA",https://humanloop.com,https://humanloop.com/contact,,,,https://www.google.com/search?q=Humanloop%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Zain%20Hasan%20Humanloop,https://www.google.com/search?q=Zain%20Hasan%20Humanloop%20founder,LLM/agent ops founder,Medium
Jordan Burgess,Humanloop,Co-founder,LLM evals and agent ops,"San Francisco, CA",https://humanloop.com,https://humanloop.com/contact,,,,https://www.google.com/search?q=Humanloop%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Jordan%20Burgess%20Humanloop,https://www.google.com/search?q=Jordan%20Burgess%20Humanloop%20founder,LLM/agent ops cofounder,Medium
Raza Habib,Humanloop,Co-founder,LLM evals and agent ops,"San Francisco, CA",https://humanloop.com,https://humanloop.com/contact,,,,https://www.google.com/search?q=Humanloop%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Raza%20Habib%20Humanloop,https://www.google.com/search?q=Raza%20Habib%20Humanloop%20founder,LLM/agent ops cofounder,Medium
Shawn Presser,AgentOps,Founder,Agent observability,"San Francisco, CA",https://www.agentops.ai,https://www.agentops.ai/contact,,,,https://www.google.com/search?q=AgentOps%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Shawn%20Presser%20AgentOps,https://www.google.com/search?q=Shawn%20Presser%20AgentOps%20founder,Observability for AI agents,High
Adam Silverman,AgentOps,Co-founder,Agent observability,"San Francisco, CA",https://www.agentops.ai,https://www.agentops.ai/contact,,,,https://www.google.com/search?q=AgentOps%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Adam%20Silverman%20AgentOps,https://www.google.com/search?q=Adam%20Silverman%20AgentOps%20founder,Agent observability cofounder,High
Dan Siroker,Rewind AI / Limitless,Co-founder / CEO,Personal AI agents / memory,"San Francisco, CA",https://www.limitless.ai,https://www.limitless.ai/contact,,,,https://www.google.com/search?q=Rewind%20AI%20%2F%20Limitless%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Dan%20Siroker%20Limitless%20AI%20Rewind,https://www.google.com/search?q=Dan%20Siroker%20Rewind%20Limitless%20AI%20founder,Personal AI memory agent founder,High
David Hsu,Retell AI,Co-founder / CEO,Voice AI agents,"Palo Alto, CA",https://www.retellai.com,https://www.retellai.com/contact,,,,https://www.google.com/search?q=Retell%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=David%20Hsu%20Retell%20AI,https://www.google.com/search?q=David%20Hsu%20Retell%20AI%20founder,Voice agent founder,High
Yao Meng,Retell AI,Co-founder / CTO,Voice AI agents,"Palo Alto, CA",https://www.retellai.com,https://www.retellai.com/contact,,,,https://www.google.com/search?q=Retell%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Yao%20Meng%20Retell%20AI,https://www.google.com/search?q=Yao%20Meng%20Retell%20AI%20founder,Voice agent cofounder,High
Nikhil Gupta,Vapi,Co-founder,Voice AI agents,"San Francisco, CA",https://vapi.ai,https://vapi.ai/contact,,,,https://www.google.com/search?q=Vapi%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Nikhil%20Gupta%20Vapi%20AI,https://www.google.com/search?q=Nikhil%20Gupta%20Vapi%20AI%20founder,Voice agent infrastructure,High
Ishaan Shah,Vapi,Co-founder,Voice AI agents,"San Francisco, CA",https://vapi.ai,https://vapi.ai/contact,,,,https://www.google.com/search?q=Vapi%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Ishaan%20Shah%20Vapi%20AI,https://www.google.com/search?q=Ishaan%20Shah%20Vapi%20AI%20founder,Voice agent infrastructure,High
Noor Siddiqui,Orby AI,Founder / CEO,Enterprise process automation agents,"Mountain View, CA",https://www.orby.ai,https://www.orby.ai/contact,,,,https://www.google.com/search?q=Orby%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Noor%20Siddiqui%20Orby%20AI,https://www.google.com/search?q=Noor%20Siddiqui%20Orby%20AI%20founder,Enterprise AI automation founder,High
Bella Liu,Orby AI,Co-founder / CTO,Enterprise process automation agents,"Mountain View, CA",https://www.orby.ai,https://www.orby.ai/contact,,,,https://www.google.com/search?q=Orby%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Bella%20Liu%20Orby%20AI,https://www.google.com/search?q=Bella%20Liu%20Orby%20AI%20founder,Enterprise AI automation cofounder,High
Surojit Chatterjee,Ema,Founder / CEO,Enterprise AI employees / agents,"San Francisco, CA",https://www.ema.co,https://www.ema.co/contact,,,,https://www.google.com/search?q=Ema%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Surojit%20Chatterjee%20Ema%20AI,https://www.google.com/search?q=Surojit%20Chatterjee%20Ema%20AI%20founder,Enterprise agent founder,High
Souvik Sen,Ema,Founder,Enterprise AI employees / agents,"San Francisco, CA",https://www.ema.co,https://www.ema.co/contact,,,,https://www.google.com/search?q=Ema%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Souvik%20Sen%20Ema%20AI,https://www.google.com/search?q=Souvik%20Sen%20Ema%20AI%20founder,Enterprise agent founder,High
George Sivulka,Hebbia,Founder / CEO,AI research agents,"New York, NY",https://www.hebbia.ai,https://www.hebbia.ai/contact,,,,https://www.google.com/search?q=Hebbia%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=George%20Sivulka%20Hebbia,https://www.google.com/search?q=George%20Sivulka%20Hebbia%20founder,AI research workflow founder,High
Dylan Fox,AssemblyAI,Founder / CEO,Voice AI infra for agents,"San Francisco, CA",https://www.assemblyai.com,https://www.assemblyai.com/contact,,,,https://www.google.com/search?q=AssemblyAI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Dylan%20Fox%20AssemblyAI,https://www.google.com/search?q=Dylan%20Fox%20AssemblyAI%20founder,Voice AI infra relevant to agents,Medium
Alex Levin,Regie.ai,Co-founder / CEO,Sales AI agents,"San Francisco, CA",https://www.regie.ai,https://www.regie.ai/contact,,,,https://www.google.com/search?q=Regie.ai%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Alex%20Levin%20Regie.ai,https://www.google.com/search?q=Alex%20Levin%20Regie.ai%20founder,Sales automation AI founder,Medium
Srinath Sridhar,Regie.ai,Co-founder,Sales AI agents,"San Francisco, CA",https://www.regie.ai,https://www.regie.ai/contact,,,,https://www.google.com/search?q=Regie.ai%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Srinath%20Sridhar%20Regie.ai,https://www.google.com/search?q=Srinath%20Sridhar%20Regie.ai%20founder,Sales automation AI cofounder,Medium
Rami Karabibar,EvenUp,Co-founder / CEO,Legal AI automation,"San Francisco, CA",https://www.evenuplaw.com,https://www.evenuplaw.com/contact,,,,https://www.google.com/search?q=EvenUp%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Rami%20Karabibar%20EvenUp,https://www.google.com/search?q=Rami%20Karabibar%20EvenUp%20founder,AI legal workflow founder,Medium
Ray Mieszaniec,EvenUp,Co-founder / COO,Legal AI automation,"San Francisco, CA",https://www.evenuplaw.com,https://www.evenuplaw.com/contact,,,,https://www.google.com/search?q=EvenUp%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Ray%20Mieszaniec%20EvenUp,https://www.google.com/search?q=Ray%20Mieszaniec%20EvenUp%20founder,AI legal workflow cofounder,Medium
Pieter Levels,PhotoAI / Levels.io,Founder,Indie AI products,"Austin, TX / nomad",https://levels.io,https://photoai.com,,,,https://www.google.com/search?q=PhotoAI%20%2F%20Levels.io%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Pieter%20Levels%20PhotoAI,https://www.google.com/search?q=Pieter%20Levels%20AI%20founder%20PhotoAI,Indie AI product builder,Medium
Danny Postma,HeadshotPro,Founder,Indie AI automation products,US/remote,https://www.dannypostma.com,https://www.headshotpro.com/contact,,,,https://www.google.com/search?q=HeadshotPro%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Danny%20Postma%20AI%20founder,https://www.google.com/search?q=Danny%20Postma%20AI%20founder,Indie AI founder with automation focus,Medium
Marc Lou,ShipFast,Founder,Indie AI app builder,US/remote,https://marclou.com,https://shipfa.st,,,,https://www.google.com/search?q=ShipFast%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Marc%20Lou%20AI%20founder%20ShipFast,https://www.google.com/search?q=Marc%20Lou%20AI%20founder,Indie builder selling AI app tooling,Medium
Adept AI Founder or CEO,Adept AI,Founder or CEO,AI action agents,"San Francisco, CA",https://www.adept.ai,https://www.adept.ai/contact,,,,https://www.google.com/search?q=Adept%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Adept%20AI%20Founder%20or%20CEO,https://www.google.com/search?q=Adept%20AI%20Founder%20or%20CEO%20AI%20action%20agents,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Medium
Adept AI Technical founder or CTO,Adept AI,Technical founder or CTO,AI action agents,"San Francisco, CA",https://www.adept.ai,https://www.adept.ai/contact,,,,https://www.google.com/search?q=Adept%20AI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Adept%20AI%20Technical%20founder%20or%20CTO,https://www.google.com/search?q=Adept%20AI%20Technical%20founder%20or%20CTO%20AI%20action%20agents,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Low
Imbue Founder or CEO,Imbue,Founder or CEO,AI reasoning agents,"San Francisco, CA",https://imbue.com,https://imbue.com/contact,,,,https://www.google.com/search?q=Imbue%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Imbue%20Founder%20or%20CEO,https://www.google.com/search?q=Imbue%20Founder%20or%20CEO%20AI%20reasoning%20agents,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Medium
Imbue Technical founder or CTO,Imbue,Technical founder or CTO,AI reasoning agents,"San Francisco, CA",https://imbue.com,https://imbue.com/contact,,,,https://www.google.com/search?q=Imbue%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Imbue%20Technical%20founder%20or%20CTO,https://www.google.com/search?q=Imbue%20Technical%20founder%20or%20CTO%20AI%20reasoning%20agents,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Low
Rabbit Founder or CEO,Rabbit,Founder or CEO,Consumer AI agent hardware,"Santa Monica, CA",https://www.rabbit.tech,https://www.rabbit.tech/contact,,,,https://www.google.com/search?q=Rabbit%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Rabbit%20Founder%20or%20CEO,https://www.google.com/search?q=Rabbit%20Founder%20or%20CEO%20Consumer%20AI%20agent%20hardware,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Medium
Rabbit Technical founder or CTO,Rabbit,Technical founder or CTO,Consumer AI agent hardware,"Santa Monica, CA",https://www.rabbit.tech,https://www.rabbit.tech/contact,,,,https://www.google.com/search?q=Rabbit%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Rabbit%20Technical%20founder%20or%20CTO,https://www.google.com/search?q=Rabbit%20Technical%20founder%20or%20CTO%20Consumer%20AI%20agent%20hardware,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Low
Perplexity Founder or CEO,Perplexity,Founder or CEO,AI answer/research agent,"San Francisco, CA",https://www.perplexity.ai,https://www.perplexity.ai/contact,,,,https://www.google.com/search?q=Perplexity%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Perplexity%20Founder%20or%20CEO,https://www.google.com/search?q=Perplexity%20Founder%20or%20CEO%20AI%20answer%2Fresearch%20agent,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Medium
Perplexity Technical founder or CTO,Perplexity,Technical founder or CTO,AI answer/research agent,"San Francisco, CA",https://www.perplexity.ai,https://www.perplexity.ai/contact,,,,https://www.google.com/search?q=Perplexity%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Perplexity%20Technical%20founder%20or%20CTO,https://www.google.com/search?q=Perplexity%20Technical%20founder%20or%20CTO%20AI%20answer%2Fresearch%20agent,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Low
Exa Founder or CEO,Exa,Founder or CEO,Search API for AI agents,"San Francisco, CA",https://exa.ai,https://exa.ai/contact,,,,https://www.google.com/search?q=Exa%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Exa%20Founder%20or%20CEO,https://www.google.com/search?q=Exa%20Founder%20or%20CEO%20Search%20API%20for%20AI%20agents,Company-level prospect row for pulling a less-mainstream founder/operator via LinkedIn/company contact,Medium
